path	lfs_oid	expected_size	local_size	raw_url	media_url	media_http	media_content_type	media_content_length
audio_files/100MinOfWorkingSuggestions_Audio_01_17_2024_19_38_22.mp3	345ac599f92628610e33c80acd4ac7e8bb544c5b2192c9d66fa750836e4531f0	97535373	97535373	https://raw.githubusercontent.com/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/100MinOfWorkingSuggestions_Audio_01_17_2024_19_38_22.mp3	https://media.githubusercontent.com/media/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/100MinOfWorkingSuggestions_Audio_01_17_2024_19_38_22.mp3	200	audio/mpeg	97535373
audio_files/25Min_EmotionalSuggestions_Audio_01_18_2024_23_13_15.mp3	9362ffeb1d19d82bffecdd922fe0d0d51046c5ca162749b31f9c828849ac10ab	24258693	24258693	https://raw.githubusercontent.com/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/25Min_EmotionalSuggestions_Audio_01_18_2024_23_13_15.mp3	https://media.githubusercontent.com/media/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/25Min_EmotionalSuggestions_Audio_01_18_2024_23_13_15.mp3	200	audio/mpeg	24258693
audio_files/30Min_BadAss_SelfSuggestions_ChainLinking_Audio_01_22_2024_00_05_23.mp3	fdcbb0b5cc13b5e462eab5705d62265c9a22abdf33ddebfb96726cad9b3a1152	28242753	28242753	https://raw.githubusercontent.com/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/30Min_BadAss_SelfSuggestions_ChainLinking_Audio_01_22_2024_00_05_23.mp3	https://media.githubusercontent.com/media/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/30Min_BadAss_SelfSuggestions_ChainLinking_Audio_01_22_2024_00_05_23.mp3	200	audio/mpeg	28242753
audio_files/60New_notRedBook_Min_Audio_02_08_2024_18_14_00.mp3	e748058f8a5b4af7fc0b7e077d63219a8c7f15816f60694fd2aaea2e1e127218	58121346	58121346	https://raw.githubusercontent.com/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/60New_notRedBook_Min_Audio_02_08_2024_18_14_00.mp3	https://media.githubusercontent.com/media/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/60New_notRedBook_Min_Audio_02_08_2024_18_14_00.mp3	200	audio/mpeg	58121346
audio_files/60New_notRedBook_Min_Audio_02_08_2024_18_14_00_1.mp3	e748058f8a5b4af7fc0b7e077d63219a8c7f15816f60694fd2aaea2e1e127218	58121346	58121346	https://raw.githubusercontent.com/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/60New_notRedBook_Min_Audio_02_08_2024_18_14_00_1.mp3	https://media.githubusercontent.com/media/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/60New_notRedBook_Min_Audio_02_08_2024_18_14_00_1.mp3	200	audio/mpeg	58121346
audio_files/90min_repetition_reinforcement_Audio_01_30_2024_12_10_06.mp3	ccbc0e80551eb9101eb8c822a39db614c32d55f53ce9b6bff3207767893ee2ed	75473733	75473733	https://raw.githubusercontent.com/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/90min_repetition_reinforcement_Audio_01_30_2024_12_10_06.mp3	https://media.githubusercontent.com/media/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/90min_repetition_reinforcement_Audio_01_30_2024_12_10_06.mp3	200	audio/mpeg	75473733
audio_files/AlchemistEnding2of2Audio_12_26_2023_09_04_00.mp3	ba0601d1b2027f773f8aaf562201d4a28c53545ff49f8a0196a40869f8aae1f0	11092353	11092353	https://raw.githubusercontent.com/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/AlchemistEnding2of2Audio_12_26_2023_09_04_00.mp3	https://media.githubusercontent.com/media/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/AlchemistEnding2of2Audio_12_26_2023_09_04_00.mp3	200	audio/mpeg	11092353
audio_files/Alchemistending1of2Audio_12_26_2023_08_24_42.mp3	774e470ea2557fac6688f8330dd9664442618dfabeb0be299af187e64b3bd706	18883074	18883074	https://raw.githubusercontent.com/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/Alchemistending1of2Audio_12_26_2023_08_24_42.mp3	https://media.githubusercontent.com/media/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/Alchemistending1of2Audio_12_26_2023_08_24_42.mp3	200	audio/mpeg	18883074
audio_files/Audio_02_25_2024_23_47_14.mp3	57b239e9904aa7913fb9b18a10000e4fab9c70e58a18d776a0c3d4fdd7789d08	416027841	416027841	https://raw.githubusercontent.com/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/Audio_02_25_2024_23_47_14.mp3	https://media.githubusercontent.com/media/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/Audio_02_25_2024_23_47_14.mp3	200	audio/mpeg	416027841
audio_files/Audio_03_21_2024_02_37_25.mp3	7fe287e13722474bde7eefc2b2f80499f66acec0f221fe50a7991a81c5934bb3	296908737	296908737	https://raw.githubusercontent.com/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/Audio_03_21_2024_02_37_25.mp3	https://media.githubusercontent.com/media/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/Audio_03_21_2024_02_37_25.mp3	200	audio/mpeg	296908737
audio_files/Audio_05_07_2024_12_53_49.mp3	c8c684e3fc389c511d77cf27f45e373a258fc322f9fb4b872a48051aeb3a4b10	256078977	256078977	https://raw.githubusercontent.com/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/Audio_05_07_2024_12_53_49.mp3	https://media.githubusercontent.com/media/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/Audio_05_07_2024_12_53_49.mp3	200	audio/mpeg	256078977
audio_files/Audio_07_09_2024_02_47_14.mp3	bdc95d2d7c15196f07a15f9e12bd4ea4e3aeb78cc5b24abbe866145c84bc0787	352873473	352873473	https://raw.githubusercontent.com/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/Audio_07_09_2024_02_47_14.mp3	https://media.githubusercontent.com/media/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/Audio_07_09_2024_02_47_14.mp3	200	audio/mpeg	352873473
audio_files/BradneyAginConversation.Audio_03_28_2024_11_43_27.mp3	de868186f026b7b284a7435577f4d229b468fd9a4fcdc292dab862b18ab8688f	73877316	73877316	https://raw.githubusercontent.com/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/BradneyAginConversation.Audio_03_28_2024_11_43_27.mp3	https://media.githubusercontent.com/media/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/BradneyAginConversation.Audio_03_28_2024_11_43_27.mp3	200	audio/mpeg	73877316
audio_files/Endurance_Runners473_Audio_03_06_2024_17_30_02.mp3	40420a6cab50e217d9d5cc79cbfc23735d27aa770baf3a7125b4ccb00d78e0fe	11532417	11532417	https://raw.githubusercontent.com/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/Endurance_Runners473_Audio_03_06_2024_17_30_02.mp3	https://media.githubusercontent.com/media/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/Endurance_Runners473_Audio_03_06_2024_17_30_02.mp3	200	audio/mpeg	11532417
audio_files/EnhanceSportsmanship465_Audio_03_06_2024_18_06_30.mp3	69ddfda3f6fc9e76d2b5d316168ceee095ddb898b494465c5df4627cc77670b5	7269441	7269441	https://raw.githubusercontent.com/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/EnhanceSportsmanship465_Audio_03_06_2024_18_06_30.mp3	https://media.githubusercontent.com/media/samtheinsuranceman-debug/sam-russell-corpus/master/audio_files/EnhanceSportsmanship465_Audio_03_06_2024_18_06_30.mp3	200	audio/mpeg	7269441
